participant,language,task,word,stop,foll_vowel,type,duration,excl,negvotva,posvotva,
001,en,r1,told,t,əʊ,POS_VOT,37,,,,
001,en,r1,bird,b,ɜː,,,VA,-85,18,
001,en,r1,but,b,ʌ,POS_VOT,11,,,,
001,en,r1,could,k,ʊ,POS_VOT,67,,,,
001,en,r1,barely,b,ɛ,POS_VOT,10,,,,
001,en,r1,piggly,p,ɪ,POS_VOT,24,,,,
001,en,r1,pathetic,p,ə,POS_VOT,31,,,,
001,en,r1,don't,d,ɑ,POS_VOT,10,,,,at 216 s
001,en,r1,big,b,ɪ,,,VA,-120,9,
001,en,r1,getting,ɡ,ɛ,POS_VOT,20,,,,
001,en,r1,beyond,b,ɪ,NEG_VOT,-125,,,,
001,en,r1,began,b,ɪ,POS_VOT,10,,,,
001,en,r1,to,t,ə,POS_VOT,42,,,,
001,en,r1,ducky,d,ʌ,POS_VOT,11,,,,
001,en,r1,but,b,ʌ,,,VA,-37,11,
001,en,r1,to,t,ə,NEG_VOT,,,,,
001,en,r1,to,t,uː,POS_VOT,68,,,,
001,en,r1,bunker,b,ʌ,NEG_VOT,-68,,,,
001,en,r1,to,t,uː,POS_VOT,72,,,,
001,en,r1,piggly,p,ɪ,POS_VOT,27,,,,
001,en,r1,to,t,ə,POS_VOT,34,,,,
001,en,r1,do,d,uː,POS_VOT,17,,,,
001,en,r1,come,k,ʌ,POS_VOT,93,,,,
001,en,r1,two,t,uː,POS_VOT,23,,,,
001,en,r1,don't,d,o,,,NR,,,
001,en,r1,perky,p,ɜː,POS_VOT,28,,,,
001,en,r1,turkey,t,ɜː,POS_VOT,35,,,,
001,en,r1,can,k,æ,POS_VOT,31,,,,
001,en,r1,beak,b,iː,,,NR,,,
001,en,r1,too,t,uː,POS_VOT,21,,,,
001,en,r1,beak,b,iː,POS_VOT,8,,,,
001,en,r1,too,t,uː,POS_VOT,86,,,,
001,en,r1,piggly,p,ɪ,POS_VOT,16,,,,
001,en,r1,down,d,aʊ,POS_VOT,13,,,,
001,en,r1,beside,b,ɪ,NEG_VOT,-37,,,,at 266 s
001,en,r1,could,k,ʊ,POS_VOT,55,,,,
001,en,r1,keep,k,iː,POS_VOT,66,,,,
001,en,r1,down,d,aʊ,POS_VOT,18,,,,
001,en,r1,got,ɡ,ɒ,POS_VOT,26,,,,
001,en,r1,poisoned,p,ɔɪ,POS_VOT,6,,,,
001,en,r1,ducky,d,ʌ,,,NR,,,
001,en,r1,pull,p,ʊ,,,NR,,,
001,en,r1,together,t,ə,POS_VOT,38,,,,
001,en,r1,come,k,ʌ,POS_VOT,37,,,,
001,en,r1,to,t,ə,,,NR,,,
001,en,r1,doomsday,d,uː,POS_VOT,19,,,,
001,en,r1,confused,k,ə,POS_VOT,31,,,,
001,en,r1,today,t,ə,POS_VOT,36,,,,
001,en,r1,couldn't,k,ʊ,POS_VOT,39,,,,
001,en,r1,piggly,p,ɪ,POS_VOT,30,,,,
001,en,r1,pickled,p,ɪ,POS_VOT,16,,,,
001,en,r1,belongs,b,ɪ,NEG_VOT,-69,,,,
001,en,r1,to,t,ə,POS_VOT,35,,,,
001,en,r1,get,ɡ,ɛ,POS_VOT,25,,,,
001,en,r1,to,t,ə,POS_VOT,37,,,,
001,en,r1,bunker,b,ʌ,NEG_VOT,-47,,,,
001,en,r1,time,t,aɪ,POS_VOT,29,,,,
001,en,r1,ducky,d,ʌ,,,NR,,,
001,en,r1,together,t,ə,,,NR,,,
001,en,r1,talk,t,ɒ,POS_VOT,38,,,,
001,en,r1,perish,p,ɛ,POS_VOT,27,,,,
001,en,r1,down,d,aʊ,POS_VOT,26,,,,
001,en,r1,beside,b,i,,,CS,,,
001,en,r1,gave,ɡ,eɪ,POS_VOT,35,,,,
001,en,r1,burp,b,ɝ,,,NR,,,
001,en,r1,but,b,ʌ,,,NR,,,
001,en,r1,can,k,æ,POS_VOT,50,,,,
001,en,r1,pub,p,ʌ,,,NR,,,
001,en,r1,down,d,aʊ,,,NR,,,
001,en,r1,goaty,ɡ,əʊ,POS_VOT,58,,,,
001,en,r1,goaty,ɡ,əʊ,POS_VOT,36,,,,
001,en,r1,goodie,ɡ,ʊ,POS_VOT,28,,,,
001,en,r1,panic,p,æ,POS_VOT,71,,,,
001,en,r1,get,ɡ,ɛ,,,VA,-54,24,
001,en,r1,bump,b,ʌ,,,NR,,,
001,en,r1,gave,ɡ,eɪ,POS_VOT,40,,,,
001,en,r1,gobbled,ɡ,ɒ,,,VA,-142,25,
001,en,r1,perky,p,ɜː,,,NR,,,
001,en,r1,turkey,t,ɜː,POS_VOT,35,,,,
001,en,r1,be,b,iː,,,NR,,,
001,en,r1,but,b,ʌ,,,NR,,,
001,en,r1,be,b,iː,POS_VOT,9,,,,
001,en,r1,keep,k,iː,POS_VOT,66,,,,
001,en,r1,goaty,ɡ,əʊ,,,NR,,,
001,en,r1,get,ɡ,ɑ,,,NR,,,
001,en,r1,turkey,t,ɜː,POS_VOT,46,,,,
001,en,r1,can,k,æ,POS_VOT,29,,,,
001,en,r1,count,k,aʊ,POS_VOT,48,,,,
001,en,r1,ducky,d,ʌ,,,NR,,,
001,en,r1,behave,b,ɪ,NEG_VOT,-94,,,,
001,en,r1,goatie,ɡ,əʊ,POS_VOT,28,,,,
001,en,r1,time,t,aɪ,POS_VOT,21,,,,
001,en,r1,coordinating,k,ə,POS_VOT,73,,,,
001,en,r1,goaty,ɡ,əʊ,,,NR,,,
001,en,r1,pithy,p,ɪ,POS_VOT,11,,,,
001,en,r1,people,p,iː,POS_VOT,14,,,,
001,en,r1,call,k,ɒ,POS_VOT,88,,,,
001,en,r1,ducky,d,ʌ,,,NR,,,
001,en,r1,bowing,b,əʊ,NEG_VOT,-86,,,,
001,en,r1,but,b,ʌ,NEG_VOT,-67,,,,
001,en,r1,going,ɡ,əʊ,,,VA,-53,34,
001,en,r1,bit,b,ɪ,NEG_VOT,-27,,,,
001,en,r1,piggly,p,ɪ,POS_VOT,18,,,,
001,en,r1,delays,d,ə,,,NR,,,
001,en,r1,can,k,æ,POS_VOT,45,,,,
001,en,r1,go,ɡ,əʊ,POS_VOT,27,,,,
001,en,r1,dehydrated,d,iː,,,VA,-80,23,
001,en,r1,boy,b,ɔɪ,POS_VOT,12,,,,
001,en,r1,goaty,ɡ,əʊ,NEG_VOT,,VA,-59,28,
001,en,r1,good,ɡ,ʊ,,,NR,,,
001,en,r1,disaster,d,ɪ,POS_VOT,24,,,,
001,en,sen,pot,p,ɑ,POS_VOT,24,,,,
001,en,sen,tea,t,iː,POS_VOT,75,,,,
001,en,sen,to,t,ə,,,NR,,,
001,en,sen,pass,p,ɑː,POS_VOT,42,,,,
001,en,sen,cut,k,ʌ,POS_VOT,71,,,,
001,en,sen,pie,p,aɪ,POS_VOT,45,,,,
001,en,sen,parts,p,ɑː,POS_VOT,21,,,,
001,en,sen,cooked,k,ʊ,POS_VOT,49,,,,
001,en,sen,before,b,ɪ,POS_VOT,12,,,,
001,en,sen,bell,b,ɛ,,,NR,,,
001,en,sen,bind,b,aɪ,NEG_VOT,-113,,,,
001,en,sen,books,b,ʊ,,,NR,,,
001,en,sen,tusk,t,ʌ,POS_VOT,17,,,,
001,en,sen,to,t,ə,,,NR,,,at 15 s
001,en,sen,costly,k,ɒ,POS_VOT,82,,,,
001,en,sen,gifts,ɡ,ɪ,,,CS,,,
001,en,sen,tiny,t,aɪ,POS_VOT,59,,,,
001,en,sen,girl,ɡ,ɝ,POS_VOT,21,,,,
001,en,sen,took,t,ʊ,POS_VOT,58,,,,
001,en,sen,days,d,eɪ,,,NR,,,
001,en,sen,dish,d,ɪ,POS_VOT,13,,,,
001,en,sen,kitten,k,ɪ,POS_VOT,51,,,,
001,en,sen,dog,d,ɑ,,,NR,,,
001,en,sen,down,d,aʊ,POS_VOT,15,,,,
001,en,sen,corn,k,ɔː,POS_VOT,77,,,,
001,en,sen,cobs,k,ɑ,POS_VOT,36,,,,
001,en,sen,can,k,æ,POS_VOT,49,,,,
001,en,sen,be,b,iː,,,NR,,,
001,en,sen,to,t,uː,,,NR,,,
001,en,sen,kindle,k,aɪ,POS_VOT,48,,,,
001,en,sen,gift,ɡ,ɪ,,,VA,-74,21,
